"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","9호선2~3단계","송파나루","5033","5267","20260720"
"20260717","분당선","수내","7128","6925","20260720"
"20260717","7호선","수락산","10437","10184","20260720"
"20260717","안산선","수리산","2868","2431","20260720"
"20260717","경의선","수색","1725","1708","20260720"
"20260717","3호선","수서","13918","13464","20260720"
"20260717","분당선","수서","12697","13715","20260720"
"20260717","경부선","수원","41877","46066","20260720"
"20260717","분당선","수원","7250","7120","20260720"
"20260717","분당선","수원시청","9592","10758","20260720"
"20260717","4호선","수유(강북구청)","27455","26455","20260720"
"20260717","8호선","수진","4249","3801","20260720"
"20260717","4호선","숙대입구(서울시교육청)","10666","10572","20260720"
"20260717","7호선","숭실대입구(살피재)","7906","7358","20260720"
"20260717","수인선","숭의","3053","2733","20260720"
"20260717","1호선","시청","14658","15252","20260720"
"20260717","2호선","시청","13249","11213","20260720"
"20260717","분당선","신갈","2871","2813","20260720"
"20260717","5호선","신금호","3956","4117","20260720"
"20260717","5호선","신길","3449","3442","20260720"
"20260717","경부선","신길","5586","4710","20260720"
"20260717","안산선","신길온천","1717","1530","20260720"
"20260717","6호선","신내","5","0","20260720"
"20260717","경춘선","신내","2106","1860","20260720"
"20260717","9호선","신논현","23341","24825","20260720"
"20260717","2호선","신답","1123","1158","20260720"
"20260717","6호선","신당","7379","6613","20260720"
"20260717","2호선","신당","12525","13036","20260720"
"20260717","2호선","신대방","19178","17445","20260720"
"20260717","7호선","신대방삼거리","10412","9417","20260720"
"20260717","2호선","신도림","33705","32126","20260720"
"20260717","경부선","신도림","2729","3075","20260720"
"20260717","경강선","신둔도예촌","1226","1186","20260720"
"20260717","신림선","신림","1891","2273","20260720"
"20260717","2호선","신림","43895","41653","20260720"
"20260717","9호선","신목동","2733","2279","20260720"
"20260717","9호선","신반포","3085","2936","20260720"
"20260717","9호선","신방화","4671","4233","20260720"
"20260717","3호선","신사","15048","16017","20260720"
"20260717","2호선","신설동","3376","3063","20260720"
"20260717","1호선","신설동","10450","9669","20260720"
"20260717","우이신설선","신설동","1730","1609","20260720"
"20260717","4호선","신용산","20397","22848","20260720"
"20260717","중앙선","신원","187","170","20260720"
"20260717","경원선","신이문","6377","5793","20260720"
"20260717","5호선","신정(은행정)","9231","7890","20260720"
"20260717","2호선","신정네거리","6777","6627","20260720"
"20260717","장항선","신창(순천향대)","1162","999","20260720"
"20260717","경의선","신촌","284","345","20260720"
"20260717","2호선","신촌","30938","31150","20260720"
"20260717","수인선","신포","1644","1640","20260720"
"20260717","7호선","신풍","7904","7420","20260720"
"20260717","8호선","신흥","4546","4513","20260720"
"20260717","4호선","쌍문","21104","19110","20260720"
"20260717","장항선","쌍용(나사렛대)","1885","1786","20260720"
"20260717","장항선","아산","3295","3476","20260720"
"20260717","중앙선","아신","542","621","20260720"
"20260717","5호선","아차산(어린이대공원후문)","11538","11027","20260720"
"20260717","2호선","아현","7586","6882","20260720"
"20260717","3호선","안국","19830","21650","20260720"
"20260717","안산선","안산","9993","10429","20260720"
"20260717","6호선","안암(고대병원앞)","8308","6880","20260720"
"20260717","경부선","안양","17442","17288","20260720"
"20260717","8호선","암사","11253","10484","20260720"
"20260717","8호선","암사역사공원","4639","4095","20260720"
"20260717","3호선","압구정","20844","22414","20260720"
"20260717","분당선","압구정로데오","14631","16335","20260720"
"20260717","5호선","애오개","3690","3627","20260720"
"20260717","경의선","야당","6310","6483","20260720"
"20260717","수인선","야목","563","492","20260720"
"20260717","분당선","야탑","16461","17293","20260720"
"20260717","6호선","약수","2438","2596","20260720"
"20260717","3호선","약수","9253","8641","20260720"
"20260717","중앙선","양수","3156","3307","20260720"
"20260717","중앙선","양원","2009","1968","20260720"
"20260717","3호선","양재(서초구청)","16384","17252","20260720"
"20260717","중앙선","양정","433","381","20260720"
"20260717","경원선","양주","6108","5841","20260720"
"20260717","2호선","양천구청","4277","4181","20260720"
"20260717","9호선","양천향교","6057","5613","20260720"
"20260717","5호선","양평","4112","3762","20260720"
"20260717","중앙선","양평","3026","3281","20260720"
"20260717","7호선","어린이대공원(세종대)","10157","9388","20260720"
"20260717","수인선","어천","1344","1249","20260720"
"20260717","9호선2~3단계","언주","5355","5357","20260720"
"20260717","5호선","여의나루","12057","13908","20260720"
"20260717","9호선","여의도","14061","13405","20260720"
"20260717","5호선","여의도","12267","12767","20260720"
"20260717","경강선","여주","2996","3308","20260720"
"20260717","경인선","역곡","18270","17904","20260720"
"20260717","2호선","역삼","15944","17505","20260720"
"20260717","6호선","역촌","2918","3339","20260720"
"20260717","수인선","연수","3913","4081","20260720"
"20260717","6호선","연신내","7","0","20260720"
"20260717","3호선","연신내","29262","27734","20260720"
"20260717","경원선","연천","1694","1641","20260720"
"20260717","9호선","염창","12566","11397","20260720"
"20260717","경부선","영등포","43064","44228","20260720"
"20260717","2호선","영등포구청","12082","12553","20260720"
"20260717","5호선","영등포구청","2830","2484","20260720"
"20260717","5호선","영등포시장","7695","7476","20260720"
"20260717","공항철도 1호선","영종","4215","4399","20260720"
"20260717","분당선","영통","6515","6217","20260720"
"20260717","3호선","오금","3484","3278","20260720"
"20260717","5호선","오금","2021","1927","20260720"
"20260717","경인선","오류동","8606","7655","20260720"
"20260717","분당선","오리","6622","5780","20260720"
"20260717","5호선","오목교(목동운동장앞)","14766","15296","20260720"
"20260717","수인선","오목천","2849","2303","20260720"
"20260717","중앙선","오빈","292","332","20260720"
"20260717","경부선","오산","10157","9609","20260720"
"20260717","경부선","오산대","3260","3055","20260720"
"20260717","안산선","오이도","7123","7683","20260720"
"20260717","3호선","옥수","6972","6842","20260720"
"20260717","경원선","옥수","48","67","20260720"
"20260717","경인선","온수(성공회대입구)","4403","4067","20260720"
"20260717","7호선","온수(성공회대입구)","5057","5021","20260720"
"20260717","장항선","온양온천","4613","4723","20260720"
"20260717","9호선2~3단계","올림픽공원(한국체대)","22188","21675","20260720"
"20260717","5호선","올림픽공원(한국체대)","8944","9499","20260720"
"20260717","2호선","왕십리(성동구청)","12193","11279","20260720"
"20260717","5호선","왕십리(성동구청)","3372","4306","20260720"
"20260717","경원선","왕십리(성동구청)","14185","14582","20260720"
"20260717","경원선","외대앞","8255","7650","20260720"
"20260717","2호선","용답","2277","2145","20260720"
"20260717","2호선","용두(동대문구청)","1621","1571","20260720"
"20260717","7호선","용마산(용마폭포공원)","3999","4094","20260720"
"20260717","중앙선","용문","2427","2763","20260720"
"20260717","경부선","용산","57342","63250","20260720"
